"year","metier","gear","metier.cm","node_strength","eigen","btwn","btwn_inverted","basic_btwn","deg_norm","pcgroup"
"2011","25",NA,"Crab","0.199800540631906","0.414775025734867","0","0","0.607142857142857","0.875","Morro Bay"
"2011","55",NA,"CA halibut/croaker","0.0497053733869068","0.077160779402229","0","0","0.214285714285714","0.75","Morro Bay"
"2011","20",NA,"Prawns/shrimp","0.0221641951095351","0.0342791320678736","0","0","0","0.5","Morro Bay"
"2011","30",NA,"Salmon","0.261137401704067","0.459043139364749","0","0","0","1","Fort Bragg"
"2011","1",NA,"DTS groundfish","0.711929048719401","1","0.5","0.5","0","1","Fort Bragg"
"2011","3",NA,"Non-DTS groundfish","0.290111241424636","0.531011396734834","0","0","0.5","1","Fort Bragg"
"2011","25",NA,"Crab","0.688039514629267","0.951499612760953","0.833333333333333","0.833333333333333","0","1","Fort Bragg"
"2011","60",NA,"Echinoderms","0.0487827935226295","0.0848986036042256","0","0","0.833333333333333","1","Fort Bragg"
"2011","25",NA,"Crab","0.999485374369548","1","1","1","0.6","1","Bodega Bay"
"2011","30",NA,"Salmon","0.925209154383557","0.997872384243159","0","0","0","0.4","Bodega Bay"
"2011","80",NA,"Other","0.0598668020652749","0.0642189714366982","0","0","0.4","0.6","Bodega Bay"
"2011","55",NA,"CA halibut/croaker","0.000225403973439209","0.000190368368303077","0","0","0.6","0.4","Bodega Bay"
"2011","20",NA,"Prawns/shrimp","0.0077693430513078","0.0080929514719442","0","0","0","0.4","Bodega Bay"
"2011","3",NA,"Non-DTS groundfish","0.00744392215687389","0.00802966296036092","0","0","0.4","0.4","Bodega Bay"
"2011","25",NA,"Crab","0.90024801960715","1","0.952380952380952","0.952380952380952","0.285714285714286","1","San Francisco"
"2011","30",NA,"Salmon","0.538034114021367","0.941923264415053","0","0","0.285714285714286","0.857142857142857","San Francisco"
"2011","70",NA,"Squid","0.107986467371208","0.199030678078479","0","0","0","0.142857142857143","San Francisco"
"2011","55",NA,"CA halibut/croaker","0.102692213615879","0.11828088805098","0","0","0","0.571428571428571","San Francisco"
"2011","1",NA,"DTS groundfish","0.12719401425324","0.189382102825313","0","0","0.285714285714286","0.857142857142857","San Francisco"
"2011","20",NA,"Prawns/shrimp","0.104820830485544","0.189138168383311","0","0","0","0.428571428571429","San Francisco"
"2011","3",NA,"Non-DTS groundfish","0.107829701838828","0.0989204816305547","0","0","0","0.714285714285714","San Francisco"
"2011","40",NA,"Herring","0.0111946388067842","0.0196446122065477","0","0","0.857142857142857","0.571428571428571","San Francisco"
"2011","80",NA,"Other","0.220580833503342","0.306517426957226","0","0","0.5","0.8","San Diego"
"2011","65",NA,"Shellfish","0.984567081977494","1","0.6","0.6","0","0.8","San Diego"
"2011","1",NA,"DTS groundfish","0.0566275253635551","0.082288863111109","0","0","0.3","0.4","San Diego"
"2011","20",NA,"Prawns/shrimp","0.640340349251237","0.940749817800423","0","0","0","0.4","San Diego"
"2011","60",NA,"Echinoderms","0.097884209904372","0.130820464846986","0","0","0","0.4","San Diego"
"2011","45",NA,"Coastal pelagics","0","6.59850886928415e-24","0","0","0","0","San Diego"
"2011","30",NA,"Salmon","0.34550458547106","0.000150201192039168","0.857142857142857","0.857142857142857","0","0.75","Monterey"
"2011","1",NA,"DTS groundfish","0.115239705187998","0.000703878937459674","0.428571428571429","0.428571428571429","0","1","Monterey"
"2011","25",NA,"Crab","0.218919511709747","8.49328356968672e-05","0","0","0","0.875","Monterey"
"2011","35",NA,"Tuna","0.0930577903596746","2.54235312722795e-05","0","0","0","0.75","Monterey"
"2011","45",NA,"Coastal pelagics","0.535997901384768","1","0.25","0.25","0","0.375","Monterey"
"2011","70",NA,"Squid","0.535972213732041","0.999999958288512","0","0","0.607142857142857","0.625","Monterey"
"2011","80",NA,"Other","0.0954848058822266","0.000233158315756639","0.25","0.25","0.25","1","Monterey"
"2011","55",NA,"CA halibut/croaker","0.0533351399416502","6.63585193258242e-05","0","0","0.571428571428571","0.875","Monterey"
"2011","20",NA,"Prawns/shrimp","0.0064883463308347","1.93608019197041e-06","0","0","0.642857142857143","0.75","Monterey"
"2011","60",NA,"Echinoderms","0.210003545172682","0.582712434146093","0","0","0","0.777777777777778","Santa Barbara"
"2011","1",NA,"DTS groundfish","0.190790468340174","0.495217125010767","0.0555555555555556","0.0555555555555556","0.833333333333333","1","Santa Barbara"
"2011","3",NA,"Non-DTS groundfish","0.160212929185785","0.421831205921629","0","0","0","1","Santa Barbara"
"2011","35",NA,"Tuna","0.128449636133839","0.478666363259243","0","0","0.583333333333333","0.777777777777778","Santa Barbara"
"2011","55",NA,"CA halibut/croaker","0.305954939994502","0.933811756007659","0.333333333333333","0.333333333333333","0","1","Santa Barbara"
"2011","80",NA,"Other","0.401499190404072","1","0.416666666666667","0.416666666666667","0","1","Santa Barbara"
"2011","65",NA,"Shellfish","0.344964847195354","0.769546867046685","0.444444444444444","0.444444444444444","0","0.888888888888889","Santa Barbara"
"2011","20",NA,"Prawns/shrimp","0.21595042480988","0.64101595663475","0","0","0","0.888888888888889","Santa Barbara"
